,tick_size,taker_commission,strike,settlement_period,settlement_currency,rfq,quote_currency,price_index,option_type,min_trade_amount,maker_commission,kind,is_active,instrument_name,instrument_id,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,base_currency,max_liquidation_commission,max_leverage,future_type
0,0.0005,0.0003,25500.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-25500-C,253173,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
1,0.0005,0.0003,25500.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-25500-P,253174,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
2,0.0005,0.0003,26000.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-26000-C,253175,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
3,0.0005,0.0003,26000.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-26000-P,253176,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
4,0.0005,0.0003,26500.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-26500-C,253177,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
5,0.0005,0.0003,26500.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-26500-P,253178,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
6,0.0005,0.0003,27000.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-27000-C,253179,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
7,0.0005,0.0003,27000.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-27000-P,253180,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
8,0.0005,0.0003,27500.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-27500-C,253181,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
9,0.0005,0.0003,27500.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-27500-P,253182,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
10,0.0005,0.0003,27750.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-27750-C,253183,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
11,0.0005,0.0003,27750.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-27750-P,253184,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
12,0.0005,0.0003,28000.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-28000-C,253185,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
13,0.0005,0.0003,28000.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-28000-P,253186,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
14,0.0005,0.0003,28250.0,day,BTC,False,BTC,btc_usd,call,0.1,0.0003,option,True,BTC-10APR23-28250-C,253187,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
15,0.0005,0.0003,28250.0,day,BTC,False,BTC,btc_usd,put,0.1,0.0003,option,True,BTC-10APR23-28250-P,253188,1681113600000,1680940805000,USD,1.0,0.0001,50.0,0.0003,BTC,,,
