instrument_name,tick_size,taker_commission,settlement_period,settlement_currency,rfq,quote_currency,price_index,min_trade_amount,max_liquidation_commission,max_leverage,maker_commission,kind,is_active,instrument_type,instrument_id,future_type,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,base_currency,strike,option_type
BTC-31MAR23,2.5,0.0005,month,BTC,False,USD,btc_usd,10.0,0.0075,50.0,0.0,future,True,reversed,126385,reversed,1680249600000,1648195202000,USD,10.0,0.01,200000.0,0.00025,BTC,,
BTC-31MAR23-10000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,130436,,1680249600000,1655475310000,USD,1.0,0.0001,25.0,0.00015,BTC,10000.0,call
BTC-31MAR23-10000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,130437,,1680249600000,1655475310000,USD,1.0,0.0001,25.0,0.00015,BTC,10000.0,put
BTC-31MAR23-14000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,141812,,1680249600000,1668011340000,USD,1.0,0.0001,25.0,0.00015,BTC,14000.0,call
BTC-31MAR23-14000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,141813,,1680249600000,1668011340000,USD,1.0,0.0001,25.0,0.00015,BTC,14000.0,put
BTC-31MAR23-15000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,128768,,1680249600000,1652339820000,USD,1.0,0.0001,25.0,0.00015,BTC,15000.0,call
BTC-31MAR23-15000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,128769,,1680249600000,1652339820000,USD,1.0,0.0001,25.0,0.00015,BTC,15000.0,put
BTC-31MAR23-16000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131281,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,16000.0,call
BTC-31MAR23-16000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131282,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,16000.0,put
BTC-31MAR23-18000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131283,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,18000.0,call
BTC-31MAR23-18000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131284,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,18000.0,put
BTC-31MAR23-19000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152225,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,19000.0,call
BTC-31MAR23-19000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152226,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,19000.0,put
BTC-31MAR23-19500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152227,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,19500.0,call
BTC-31MAR23-19500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152228,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,19500.0,put
BTC-31MAR23-20000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,128476,,1680249600000,1651978500000,USD,1.0,0.0001,25.0,0.00015,BTC,20000.0,call
BTC-31MAR23-20000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,128477,,1680249600000,1651978500000,USD,1.0,0.0001,25.0,0.00015,BTC,20000.0,put
BTC-31MAR23-20500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152229,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,20500.0,call
BTC-31MAR23-20500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152230,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,20500.0,put
BTC-31MAR23-21000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152231,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,21000.0,call
BTC-31MAR23-21000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152232,,1680249600000,1678464000000,USD,1.0,0.0001,25.0,0.00015,BTC,21000.0,put
BTC-31MAR23-21500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152234,,1680249600000,1678500240000,USD,1.0,0.0001,25.0,0.00015,BTC,21500.0,call
BTC-31MAR23-21500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152235,,1680249600000,1678500240000,USD,1.0,0.0001,25.0,0.00015,BTC,21500.0,put
BTC-31MAR23-22000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131285,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,22000.0,call
BTC-31MAR23-22000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131286,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,22000.0,put
BTC-31MAR23-22500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152236,,1680249600000,1678660080000,USD,1.0,0.0001,25.0,0.00015,BTC,22500.0,call
BTC-31MAR23-22500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152237,,1680249600000,1678660080000,USD,1.0,0.0001,25.0,0.00015,BTC,22500.0,put
BTC-31MAR23-23000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152238,,1680249600000,1678673940000,USD,1.0,0.0001,25.0,0.00015,BTC,23000.0,call
BTC-31MAR23-23000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152239,,1680249600000,1678673940000,USD,1.0,0.0001,25.0,0.00015,BTC,23000.0,put
BTC-31MAR23-23333-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152242,,1680249600000,1678702339000,USD,1.0,0.0001,25.0,0.00015,BTC,23333.0,call
BTC-31MAR23-23333-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152243,,1680249600000,1678702339000,USD,1.0,0.0001,25.0,0.00015,BTC,23333.0,put
BTC-31MAR23-23500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152240,,1680249600000,1678679160000,USD,1.0,0.0001,25.0,0.00015,BTC,23500.0,call
BTC-31MAR23-23500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152241,,1680249600000,1678679160000,USD,1.0,0.0001,25.0,0.00015,BTC,23500.0,put
BTC-31MAR23-24000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131287,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,24000.0,call
BTC-31MAR23-24000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131288,,1680249600000,1656938712000,USD,1.0,0.0001,25.0,0.00015,BTC,24000.0,put
BTC-31MAR23-24500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152244,,1680249600000,1678731240000,USD,1.0,0.0001,25.0,0.00015,BTC,24500.0,call
BTC-31MAR23-24500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152245,,1680249600000,1678731240000,USD,1.0,0.0001,25.0,0.00015,BTC,24500.0,put
BTC-31MAR23-25000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126281,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,25000.0,call
BTC-31MAR23-25000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126282,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,25000.0,put
BTC-31MAR23-25500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152246,,1680249600000,1678734420000,USD,1.0,0.0001,25.0,0.00015,BTC,25500.0,call
BTC-31MAR23-25500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152247,,1680249600000,1678734420000,USD,1.0,0.0001,25.0,0.00015,BTC,25500.0,put
